Station_name,num_of_casual
2112 W Peterson Ave,455
410,5
63rd St Beach,354
900 W Harrison St,9368
Aberdeen St & Jackson Blvd,10989
Aberdeen St & Monroe St,7172
Aberdeen St & Randolph St,7598
Ada St & 113th St,8
Ada St & Washington Blvd,4747
Adler Planetarium,4929
Albany Ave & 16th St,31
Albany Ave & 26th St,98
Albany Ave & Belmont Ave,410
Albany Ave & Bloomingdale Ave,3423
Albany Ave & Douglas Blvd,21
Albany Ave & Montrose Ave,1380
Altgeld Gardens,4
Archer (Damen) Ave & 37th St,399
Archer Ave & 43rd St,17
Artesian Ave & 55th St,65
